<s>            | dit            | 0.00100389495492-> 9.989966e-01   | 
</s>           | <s>            | 0.49947014451  -> 6.068521e-01   | 
<s>            | gelukkig       | 1.92387724383e-05-> 9.999807e-01   | 
gelukkig       | ligt           | 2.36111136473e-05-> 9.999764e-01   | 
ligt           | die            | 0.00334426178597-> 9.966613e-01   | 
die            | achtste        | 2.49540407822e-05-> 9.999750e-01   | 
achtste        | nogal          | 2.57749379671e-05-> 9.999743e-01   | 
nogal          | ver            | 2.41604029725e-05-> 9.999759e-01   | 
ver            | van            | 0.0296892579645-> 9.707471e-01   | 
van            | het            | 0.0025197181385-> 9.974834e-01   | 
het            | <UNK>          | 0.0188058074564-> 9.813699e-01   | 
<UNK>          | of             | 0.00245252088644-> 9.975505e-01   | 
of             | <UNK>          | 0.0154789863154-> 9.846402e-01   | 
<UNK>          | had            | 0.00187000946607-> 9.981318e-01   | 
had            | zijn           | 0.00801715347916-> 9.920149e-01   | 
zijn           | clubs          | 1.87032728718e-05-> 9.999813e-01   | 
clubs          | weggegooid     | 1.29756763272e-05-> 9.999870e-01   | 
weggegooid     | en             | 0.00680294865742-> 9.932202e-01   | 
en             | zich           | 0.00116267753765-> 9.988380e-01   | 
zich           | terstond       | 6.56077145322e-06-> 9.999934e-01   | 
terstond       | weer           | 0.000372691720258-> 9.996274e-01   | 
weer           | in             | 0.00940390769392-> 9.906402e-01   | 
in             | de             | 0.0751596912742-> 9.275953e-01   | 
de             | alcohol        | 5.28138007212e-05-> 9.999472e-01   | 
alcohol        | gestort        | 9.53277958615e-06-> 9.999905e-01   | 
gestort        | </s>           | 0.00812238454819-> 9.919105e-01   | 
</s>           | <s>            | 0.499478757381 -> 6.068469e-01   | 
<s>            | dat            | 0.012028504163 -> 9.880435e-01   | 
dat            | had            | 0.00170182227157-> 9.982996e-01   | 
had            | hij            | 0.00328002660535-> 9.967253e-01   | 
hij            | twee           | 0.00116885802709-> 9.988318e-01   | 
twee           | jaar           | 0.00125943310559-> 9.987414e-01   | 
jaar           | eerder         | 2.85511559923e-05-> 9.999714e-01   | 
eerder         | al             | 0.00154063489754-> 9.984605e-01   | 
al             | eens           | 0.000243764181505-> 9.997563e-01   | 
eens           | gedaan         | 1.7276217477e-05-> 9.999827e-01   | 
gedaan         | op             | 0.00496578449383-> 9.950465e-01   | 
op             | de             | 0.0759047046304-> 9.269046e-01   | 
de             | US             | 5.77900100325e-05-> 9.999422e-01   | 
US             | Open           | 9.26428620005e-05-> 9.999074e-01   | 
Open           | toen           | 0.000834926671814-> 9.991654e-01   | 
toen           | hij            | 0.00279206805862-> 9.972118e-01   | 
hij            | na             | 0.00132566899993-> 9.986752e-01   | 
na             | negen          | 6.8341534643e-05-> 9.999316e-01   | 
negen          | holes          | 1.15237671707e-05-> 9.999885e-01   | 
holes          | in             | 0.00932098273188-> 9.907223e-01   | 
in             | de             | 0.0753884464502-> 9.273832e-01   | 
de             | slotronde      | 1.3635659343e-05-> 9.999864e-01   | 
slotronde      | het            | 0.00229934463277-> 9.977033e-01   | 
het            | plotseling     | 1.19494143291e-05-> 9.999881e-01   | 
plotseling     | op             | 0.00475793192163-> 9.952534e-01   | 
op             | zijn           | 0.00851859245449-> 9.915176e-01   | 
zijn           | heupen         | 8.16744341137e-06-> 9.999918e-01   | 
heupen         | kreeg          | 0.000258847343503-> 9.997412e-01   | 
kreeg          | tussen         | 0.000601379724685-> 9.993988e-01   | 
tussen         | de             | 0.0617119930685-> 9.401536e-01   | 
de             | toeschouwers   | 2.32251513808e-05-> 9.999768e-01   | 
toeschouwers   | stapte         | 1.28064384626e-05-> 9.999872e-01   | 
stapte         | en             | 0.00683307508007-> 9.931902e-01   | 
en             | verdween       | 1.13761780085e-05-> 9.999886e-01   | 
verdween       | </s>           | 0.00849475618452-> 9.915412e-01   | 
</s>           | <s>            | 0.499496847391 -> 6.068359e-01   | 
<s>            | zonder         | 0.000338933139574-> 9.996611e-01   | 
zonder         | zijn           | 0.00558386323974-> 9.944317e-01   | 
zijn           | <UNK>          | 0.0169617962092-> 9.831812e-01   | 
<UNK>          | of             | 0.00242108246312-> 9.975818e-01   | 
of             | <UNK>          | 0.0157911945134-> 9.843329e-01   | 
<UNK>          | te             | 0.00711567886174-> 9.929096e-01   | 
te             | verwittigen    | 1.1423646356e-05-> 9.999886e-01   | 
verwittigen    | </s>           | 0.0086275646463-> 9.914095e-01   | 
</s>           | <s>            | 0.499477922916 -> 6.068474e-01   | 
<s>            | dit            | 0.00100389472209-> 9.989966e-01   | 
dit            | jaar           | 0.000978380907327-> 9.990221e-01   | 
jaar           | was            | 0.00289181084372-> 9.971124e-01   | 
was            | <UNK>          | 0.0136815765873-> 9.864116e-01   | 
<UNK>          | het            | 0.00256768753752-> 9.974356e-01   | 
het            | toernooi       | 9.41853431868e-05-> 9.999058e-01   | 
toernooi       | nochtans       | 1.43998158819e-05-> 9.999856e-01   | 
nochtans       | schitterend    | 1.04038845166e-05-> 9.999896e-01   | 
schitterend    | begonnen       | 1.80968163477e-05-> 9.999819e-01   | 
begonnen       | met            | 0.00462286733091-> 9.953878e-01   | 
met            | een            | 0.0109042990953-> 9.891549e-01   | 
een            | eerste         | 0.000721407413948-> 9.992788e-01   | 
eerste         | rondje         | 3.60612939403e-05-> 9.999639e-01   | 
rondje         | van            | 0.0308367107064-> 9.696339e-01   | 
van            | acht-en        | 0.000377631513402-> 9.996225e-01   | 
acht-en        | zestig         | 0.000458038615761-> 9.995421e-01   | 
zestig         | komma          | 0.000391190231312-> 9.996089e-01   | 
komma          | dat            | 0.00576564390212-> 9.942510e-01   | 
dat            | hem            | 0.00102375855204-> 9.989768e-01   | 
hem            | op             | 0.00506781274453-> 9.949450e-01   | 
op             | een            | 0.0126767260954-> 9.874033e-01   | 
een            | gedeelde       | 8.71438351169e-06-> 9.999913e-01   | 
gedeelde       | tweede         | 0.000277283514151-> 9.997228e-01   | 
tweede         | plaats         | 0.000319739774568-> 9.996803e-01   | 
plaats         | zette          | 3.43203791999e-05-> 9.999657e-01   | 
zette          | </s>           | 0.00813034549356-> 9.919026e-01   | 
</s>           | <s>            | 0.499518156052 -> 6.068230e-01   | 
<s>            | maar           | 0.0083481259644-> 9.916866e-01   | 
maar           | de             | 0.0722043663263-> 9.303408e-01   | 
de             | duivel         | 2.44542607106e-05-> 9.999756e-01   | 
duivel         | in             | 0.00844181422144-> 9.915937e-01   | 
in             | <UNK>          | 0.0133990589529-> 9.866903e-01   | 
<UNK>          | won            | 5.48532625544e-05-> 9.999452e-01   | 
won            | het            | 0.00245611742139-> 9.975469e-01   | 
het            | alweer         | 3.02699172607e-05-> 9.999697e-01   | 
alweer         | van            | 0.0333576090634-> 9.671926e-01   | 
van            | de             | 0.0662092715502-> 9.359350e-01   | 
de             | <UNK>          | 0.0183943267912-> 9.817738e-01   | 
<UNK>          | </s>           | 0.00900525227189-> 9.910352e-01   | 
</s>           | <s>            | 0.499396175146 -> 6.068970e-01   | 
<s>            | de             | 0.0993641167879-> 9.054130e-01   | 
de             | gevolgen       | 1.40683769132e-05-> 9.999859e-01   | 
gevolgen       | vallen         | 4.88242003485e-05-> 9.999512e-01   | 
vallen         | te             | 0.00584709364921-> 9.941700e-01   | 
te             | vrezen         | 1.97020963242e-05-> 9.999803e-01   | 
vrezen         | </s>           | 0.00825942773372-> 9.917746e-01   | 
</s>           | <s>            | 0.49942356348  -> 6.068804e-01   | 
<s>            | <UNK>          | 0.0165930762887-> 9.835438e-01   | 
<UNK>          | is             | 0.00785546936095-> 9.921753e-01   | 
is             | een            | 0.0117439813912-> 9.883247e-01   | 
een            | van            | 0.00960542913526-> 9.904405e-01   | 
van            | de             | 0.0646073073149-> 9.374355e-01   | 
de             | mensen         | 0.000142404984217-> 9.998576e-01   | 
mensen         | die            | 0.00307668326423-> 9.969280e-01   | 
die            | als            | 0.00187599647325-> 9.981258e-01   | 
als            | hen            | 0.000130552463816-> 9.998695e-01   | 
hen            | naar           | 0.00148008251563-> 9.985210e-01   | 
naar           | hun            | 0.000870033516549-> 9.991304e-01   | 
hun            | favoriete      | 1.16427545436e-05-> 9.999884e-01   | 
favoriete      | drankje        | 1.57711856446e-05-> 9.999842e-01   | 
drankje        | gevraagd       | 8.78183800523e-06-> 9.999912e-01   | 
gevraagd       | wordt          | 0.00141781277489-> 9.985832e-01   | 
wordt          | antwoorden     | 7.21718606655e-06-> 9.999928e-01   | 
antwoorden     | </s>           | 0.00831475574523-> 9.917197e-01   | 
</s>           | <s>            | 0.499529987574 -> 6.068158e-01   | 
<s>            | het            | 0.00598850753158-> 9.940294e-01   | 
het            | volgende       | 4.56058078271e-05-> 9.999544e-01   | 
volgende       | </s>           | 0.00677568838  -> 9.932472e-01   | 
</s>           | <s>            | 0.499017328024 -> 6.071270e-01   | 
<s>            | de             | 0.0993641167879-> 9.054130e-01   | 
de             | </s>           | 0.00272629107349-> 9.972774e-01   | 
</s>           | <s>            | 0.497004240751 -> 6.083504e-01   | 
<s>            | Amerikaan      | 2.41845464188e-05-> 9.999758e-01   | 
Amerikaan      | <UNK>          | 0.0155726186931-> 9.845480e-01   | 
<UNK>          | <UNK>          | 0.0163929313421-> 9.837407e-01   | 
<UNK>          | altijd         | 0.000385164777981-> 9.996149e-01   | 
altijd         | goed           | 0.000555059523322-> 9.994451e-01   | 
goed           | voor           | 0.00384801276959-> 9.961594e-01   | 
voor           | een            | 0.0126526793465-> 9.874271e-01   | 
een            | sterke         | 2.47955140367e-05-> 9.999752e-01   | 
sterke         | quote          | 9.99835265247e-06-> 9.999900e-01   | 
quote          | kreeg          | 0.000259044609265-> 9.997410e-01   | 
kreeg          | na             | 0.00133402156644-> 9.986669e-01   | 
na             | een            | 0.0111372629181-> 9.889245e-01   | 
een            | <UNK>          | 0.0182053074241-> 9.819594e-01   | 
<UNK>          | in             | 0.00976909417659-> 9.902785e-01   | 
in             | de             | 0.073254480958 -> 9.293643e-01   | 
de             | US             | 5.77645769226e-05-> 9.999422e-01   | 
US             | <UNK>          | 0.0132431862876-> 9.868441e-01   | 
<UNK>          | een            | 0.0111590046436-> 9.889030e-01   | 
een            | microfoon      | 2.86366266664e-05-> 9.999714e-01   | 
microfoon      | onder          | 0.000590914685745-> 9.994093e-01   | 
onder          | de             | 0.0621996559203-> 9.396952e-01   | 
de             | neus           | 2.82894143311e-05-> 9.999717e-01   | 
neus           | geduwd         | 1.20984477689e-05-> 9.999879e-01   | 
geduwd         | en             | 0.0064821280539-> 9.935389e-01   | 
en             | verwoordde     | 1.94111071323e-05-> 9.999806e-01   | 
verwoordde     | het            | 0.00233585759997-> 9.976669e-01   | 
het            | gevoel         | 2.52382196777e-05-> 9.999748e-01   | 
gevoel         | dat            | 0.00536799803376-> 9.946464e-01   | 
dat            | vele           | 4.637503298e-05-> 9.999536e-01   | 
vele           | <UNK>          | 0.0150318760425-> 9.850805e-01   | 
<UNK>          | kennen         | 1.35309928737e-05-> 9.999865e-01   | 
kennen         | </s>           | 0.00799620337784-> 9.920357e-01   | 
</s>           | <s>            | 0.499521315098 -> 6.068211e-01   | 
<s>            | voor           | 0.00431437976658-> 9.956949e-01   | 
voor           | spelers        | 6.90432134434e-05-> 9.999310e-01   | 
spelers        | als            | 0.00216498668306-> 9.978374e-01   | 
als            | ik             | 0.00186367414426-> 9.981381e-01   | 
ik             | lijkt          | 3.85292551073e-05-> 9.999615e-01   | 
lijkt          | er             | 0.00279737520032-> 9.972065e-01   | 
er             | maar           | 0.00190460996237-> 9.980972e-01   | 
maar           | één          | 0.000912425341085-> 9.990880e-01   | 
één          | oplossing      | 1.30259522848e-05-> 9.999869e-01   | 
oplossing      | </s>           | 0.00832168199122-> 9.917129e-01   | 
</s>           | <s>            | 0.499523609877 -> 6.068197e-01   | 
<s>            | het            | 0.00598850753158-> 9.940294e-01   | 
het            | oefenterrein   | 9.70664132183e-06-> 9.999903e-01   | 
oefenterrein   | </s>           | 0.00698077213019-> 9.930435e-01   | 
</s>           | <s>            | 0.499031275511 -> 6.071185e-01   | 
<s>            | maar           | 0.00834812410176-> 9.916866e-01   | 
