input           | target          | original0       <-> cbow_tfidf_soft0 || best model: 0:first, 1:second
gestort         | </s>            | 0.469201505184  <-> 0.23310109973   || 1
<s>             | dat             | 3.70544958115   <-> 3.80668210983   || 0
dat             | had             | 4.63870859146   <-> 4.89234542847   || 0
had             | hij             | 3.35797905922   <-> 3.49756217003   || 0
hij             | twee            | 6.03601646423   <-> 5.72967338562   || 1
twee            | jaar            | 2.85258340836   <-> 2.29907894135   || 1
jaar            | eerder          | 5.08613109589   <-> 4.91059684753   || 1
eerder          | al              | 4.41665267944   <-> 3.56844186783   || 1
al              | eens            | 4.56355571747   <-> 3.99222183228   || 1
eens            | gedaan          | 5.97068786621   <-> 5.35359668732   || 1
gedaan          | op              | 3.57027339935   <-> 3.42880773544   || 1
op              | de              | 1.12710571289   <-> 1.17894566059   || 0
de              | US              | 8.02199363708   <-> 7.45395326614   || 1
US              | Open            | 0.817067027092  <-> 0.0809305906296 || 1
Open            | toen            | 6.73335838318   <-> 6.70030117035   || 1
toen            | hij             | 1.92379558086   <-> 1.95717585087   || 0
hij             | na              | 4.61553049088   <-> 5.01686763763   || 0
na              | negen           | 5.86629295349   <-> 6.49987220764   || 0
negen           | holes           | 13.4006576538   <-> 11.7581787109   || 1
holes           | in              | 2.73609089851   <-> 3.1913895607    || 0
in              | de              | 1.19641244411   <-> 1.31747770309   || 0
de              | slotronde       | 9.38925743103   <-> 8.17806243896   || 1
slotronde       | het             | 5.64243364334   <-> 5.35972595215   || 1
het             | plotseling      | 12.2497739792   <-> 11.6092777252   || 1
plotseling      | op              | 3.59473252296   <-> 3.85692572594   || 0
op              | zijn            | 3.44123911858   <-> 3.97883796692   || 0
zijn            | heupen          | 8.05234146118   <-> 7.44503498077   || 1
heupen          | kreeg           | 4.99508619308   <-> 4.14347743988   || 1
kreeg           | tussen          | 7.45059394836   <-> 8.26366233826   || 0
tussen          | de              | 1.25514781475   <-> 1.33823525906   || 0
de              | toeschouwers    | 8.12576675415   <-> 9.02773857117   || 0
toeschouwers    | stapte          | 10.6770544052   <-> 9.7895450592    || 1
stapte          | en              | 4.13554525375   <-> 3.4827311039    || 1
en              | verdween        | 8.84370613098   <-> 7.66022586823   || 1
verdween        | </s>            | 2.45008111      <-> 2.84228396416   || 0
<s>             | zonder          | 7.13260555267   <-> 7.02076673508   || 1
zonder          | zijn            | 4.36504364014   <-> 4.22976112366   || 1
zijn            | <UNK>           | 2.29590773582   <-> 2.2299451828    || 1
<UNK>           | of              | 6.20846939087   <-> 5.27249908447   || 1
of              | <UNK>           | 2.06059241295   <-> 2.02587366104   || 1
<UNK>           | te              | 5.96111249924   <-> 3.88464665413   || 1
te              | verwittigen     | 9.00835704803   <-> 8.62219047546   || 1
verwittigen     | </s>            | 2.41467428207   <-> 1.52075719833   || 1
<s>             | dit             | 5.5494222641    <-> 5.13898229599   || 1
dit             | jaar            | 2.16524124146   <-> 2.38483762741   || 0
jaar            | was             | 2.79470610619   <-> 3.31684541702   || 0
was             | <UNK>           | 3.63710641861   <-> 4.14935874939   || 0
<UNK>           | het             | 4.06024217606   <-> 3.75940942764   || 1
het             | toernooi        | 8.23644447327   <-> 9.47976112366   || 0
toernooi        | nochtans        | 8.56636619568   <-> 8.12215614319   || 1
nochtans        | schitterend     | 8.45496749878   <-> 8.67686271667   || 0
schitterend     | begonnen        | 7.94140768051   <-> 7.19000244141   || 1
begonnen        | met             | 2.83849453926   <-> 2.3327229023    || 1
met             | een             | 1.95400249958   <-> 1.84524726868   || 1
een             | eerste          | 5.42828273773   <-> 5.53024673462   || 0
eerste          | rondje          | 9.92756557465   <-> 9.17848587036   || 1
rondje          | van             | 3.35958623886   <-> 3.13189840317   || 1
van             | acht-en         | 6.01787948608   <-> 6.74095535278   || 0
acht-en         | zestig          | 2.63707613945   <-> 2.58959341049   || 1
zestig          | komma           | 2.1718890667    <-> 1.50898039341   || 1
komma           | dat             | 7.54827976227   <-> 7.36478853226   || 1
dat             | hem             | 6.94530773163   <-> 6.53948020935   || 1
hem             | op              | 3.30670285225   <-> 3.16154885292   || 1
op              | een             | 2.40161561966   <-> 2.52272772789   || 0
een             | gedeelde        | 8.30743408203   <-> 7.12173748016   || 1
gedeelde        | tweede          | 5.43422031403   <-> 5.10970973969   || 1
tweede          | plaats          | 2.0308740139    <-> 1.9411907196    || 1
plaats          | zette           | 6.96418142319   <-> 5.81911706924   || 1
zette           | </s>            | 0.796964049339  <-> 0.367022424936  || 1
<s>             | maar            | 3.76087236404   <-> 3.71331453323   || 1
maar            | de              | 2.14035844803   <-> 2.24424982071   || 0
de              | duivel          | 9.02611160278   <-> 9.22227859497   || 0
duivel          | in              | 3.59806060791   <-> 3.56655716896   || 1
in              | <UNK>           | 3.1387348175    <-> 3.1888563633    || 0
<UNK>           | won             | 6.14194631577   <-> 8.33979606628   || 0
won             | het             | 3.156686306     <-> 3.23063421249   || 0
het             | alweer          | 8.36387062073   <-> 8.22091674805   || 1
alweer          | van             | 3.59490799904   <-> 3.32678413391   || 1
van             | de              | 1.32003092766   <-> 1.50504803658   || 0
de              | <UNK>           | 1.98868763447   <-> 2.31117749214   || 0
<UNK>           | </s>            | 1.33872210979   <-> 1.11984539032   || 1
<s>             | de              | 2.00110268593   <-> 1.99175584316   || 1
de              | gevolgen        | 8.20273303986   <-> 7.65905094147   || 1
gevolgen        | vallen          | 9.52041435242   <-> 8.68873786926   || 1
vallen          | te              | 5.16244792938   <-> 5.17030382156   || 0
te              | vrezen          | 6.37964439392   <-> 5.27448654175   || 1
vrezen          | </s>            | 1.68658804893   <-> 1.48953866959   || 1
<s>             | <UNK>           | 3.1323928833    <-> 3.1544175148    || 0
<UNK>           | is              | 2.98159265518   <-> 3.03689146042   || 0
is              | een             | 2.20568203926   <-> 2.18867588043   || 1
een             | van             | 4.12040758133   <-> 3.48790669441   || 1
van             | de              | 0.998846650124  <-> 0.664208292961  || 1
de              | mensen          | 5.94794940948   <-> 5.94515895844   || 1
mensen          | die             | 2.30047369003   <-> 1.33315420151   || 1
die             | als             | 4.98390102386   <-> 4.95749855042   || 1
als             | hen             | 7.39212036133   <-> 7.09147691727   || 1
hen             | naar            | 5.28978729248   <-> 5.29942893982   || 0
naar            | hun             | 4.35319137573   <-> 3.16256666183   || 1
hun             | favoriete       | 6.40983724594   <-> 6.17825841904   || 1
favoriete       | drankje         | 11.2686653137   <-> 11.7475500107   || 0
drankje         | gevraagd        | 9.61144542694   <-> 9.28894996643   || 1
gevraagd        | wordt           | 4.22883987427   <-> 4.94438028336   || 0
wordt           | antwoorden      | 11.578625679    <-> 13.676905632    || 0
antwoorden      | </s>            | 0.862090110779  <-> 1.00324296951   || 0
<s>             | het             | 2.82423329353   <-> 2.80581140518   || 1
het             | volgende        | 7.91867923737   <-> 8.33464813232   || 0
volgende        | </s>            | 7.02268981934   <-> 7.59597015381   || 0
<s>             | de              | 2.04708909988   <-> 1.99175584316   || 1
de              | </s>            | 10.555352211    <-> 11.1842355728   || 0
<s>             | Amerikaan       | 11.3875141144   <-> 11.7985048294   || 0
Amerikaan       | <UNK>           | 2.37804865837   <-> 2.30624771118   || 1
<UNK>           | <UNK>           | 2.1738615036    <-> 1.98910629749   || 1
<UNK>           | altijd          | 8.79429912567   <-> 9.6740026474    || 0
altijd          | goed            | 5.73781204224   <-> 6.12768745422   || 0
goed            | voor            | 2.47411203384   <-> 2.44371509552   || 1
voor            | een             | 2.28314471245   <-> 2.42337036133   || 0
een             | sterke          | 6.21256542206   <-> 6.4139623642    || 0
sterke          | quote           | 12.0699768066   <-> 10.9507846832   || 1
quote           | kreeg           | 8.45156669617   <-> 8.61461639404   || 0
kreeg           | na              | 5.91745424271   <-> 6.0961856842    || 0
na              | een             | 1.7756062746    <-> 1.8114978075    || 0
een             | <UNK>           | 1.92881143093   <-> 2.78171205521   || 0
<UNK>           | in              | 2.80795526505   <-> 2.84184932709   || 0
in              | de              | 1.27075242996   <-> 1.291203022     || 0
de              | US              | 8.72334098816   <-> 7.46828746796   || 1
US              | <UNK>           | 1.52885985374   <-> 4.00919485092   || 0
<UNK>           | een             | 3.40422534943   <-> 2.88571739197   || 1
een             | microfoon       | 9.71475982666   <-> 9.42119216919   || 1
microfoon       | onder           | 6.02407836914   <-> 6.02257013321   || 1
onder           | de              | 1.48754501343   <-> 1.56719577312   || 0
de              | neus            | 6.076628685     <-> 4.90530967712   || 1
neus            | geduwd          | 10.649936676    <-> 9.27963733673   || 1
geduwd          | en              | 2.07557988167   <-> 2.58757615089   || 0
en              | verwoordde      | 12.3588886261   <-> 12.5217790604   || 0
verwoordde      | het             | 2.68374752998   <-> 2.74064278603   || 0
het             | gevoel          | 5.59529399872   <-> 6.04415225983   || 0
gevoel          | dat             | 1.29776895046   <-> 1.34379577637   || 0
dat             | vele            | 8.52204799652   <-> 7.89742660522   || 1
vele            | <UNK>           | 2.18052053452   <-> 2.55006575584   || 0
<UNK>           | kennen          | 9.08352565765   <-> 8.96840858459   || 1
kennen          | </s>            | 1.16508376598   <-> 0.978866100311  || 1
<s>             | voor            | 4.57810688019   <-> 4.71159315109   || 0
voor            | spelers         | 9.67027854919   <-> 8.93980789185   || 1
spelers         | als             | 4.85150051117   <-> 4.66495466232   || 1
als             | ik              | 3.94577336311   <-> 3.77040290833   || 1
ik              | lijkt           | 9.25145149231   <-> 9.09116744995   || 1
