input           | target          | original0       <-> cbow_exp_lstm0  || best model: 0:first, 1:second
gestort         | </s>            | 0.469201505184  <-> 0.357058823109  || 1
<s>             | dat             | 3.70544958115   <-> 3.87029528618   || 0
dat             | had             | 4.63870859146   <-> 4.635597229     || 1
had             | hij             | 3.35797905922   <-> 3.29808139801   || 1
hij             | twee            | 6.03601646423   <-> 6.056432724     || 0
twee            | jaar            | 2.85258340836   <-> 1.75574362278   || 1
jaar            | eerder          | 5.08613109589   <-> 4.65062427521   || 1
eerder          | al              | 4.41665267944   <-> 3.51739788055   || 1
al              | eens            | 4.56355571747   <-> 3.85725474358   || 1
eens            | gedaan          | 5.97068786621   <-> 5.4743719101    || 1
gedaan          | op              | 3.57027339935   <-> 3.75142097473   || 0
op              | de              | 1.12710571289   <-> 1.28360545635   || 0
de              | US              | 8.02199363708   <-> 7.28376722336   || 1
US              | Open            | 0.817067027092  <-> 0.116618983448  || 1
Open            | toen            | 6.73335838318   <-> 6.07579946518   || 1
toen            | hij             | 1.92379558086   <-> 1.8167090416    || 1
hij             | na              | 4.61553049088   <-> 4.98576021194   || 0
na              | negen           | 5.86629295349   <-> 6.61436271667   || 0
negen           | holes           | 13.4006576538   <-> 11.2327623367   || 1
holes           | in              | 2.73609089851   <-> 2.7249546051    || 1
in              | de              | 1.19641244411   <-> 1.22327005863   || 0
de              | slotronde       | 9.38925743103   <-> 7.47147989273   || 1
slotronde       | het             | 5.64243364334   <-> 5.29339504242   || 1
het             | plotseling      | 12.2497739792   <-> 11.5259513855   || 1
plotseling      | op              | 3.59473252296   <-> 4.02398443222   || 0
op              | zijn            | 3.44123911858   <-> 3.70310783386   || 0
zijn            | heupen          | 8.05234146118   <-> 7.67869377136   || 1
heupen          | kreeg           | 4.99508619308   <-> 4.35172271729   || 1
kreeg           | tussen          | 7.45059394836   <-> 8.39345836639   || 0
tussen          | de              | 1.25514781475   <-> 1.25900185108   || 0
de              | toeschouwers    | 8.12576675415   <-> 6.86127281189   || 1
toeschouwers    | stapte          | 10.6770544052   <-> 9.40470123291   || 1
stapte          | en              | 4.13554525375   <-> 3.24147295952   || 1
en              | verdween        | 8.84370613098   <-> 7.42411518097   || 1
verdween        | </s>            | 2.45008111      <-> 2.03718805313   || 1
<s>             | zonder          | 7.13260555267   <-> 7.0182967186    || 1
zonder          | zijn            | 4.36504364014   <-> 4.33856582642   || 1
zijn            | <UNK>           | 2.29590773582   <-> 2.22352695465   || 1
<UNK>           | of              | 6.20846939087   <-> 6.00133895874   || 1
of              | <UNK>           | 2.06059241295   <-> 1.74695122242   || 1
<UNK>           | te              | 5.96111249924   <-> 4.77876663208   || 1
te              | verwittigen     | 9.00835704803   <-> 9.51575565338   || 0
verwittigen     | </s>            | 2.41467428207   <-> 1.28730595112   || 1
<s>             | dit             | 5.5494222641    <-> 5.47634267807   || 1
dit             | jaar            | 2.16524124146   <-> 1.77097296715   || 1
jaar            | was             | 2.79470610619   <-> 2.64426970482   || 1
was             | <UNK>           | 3.63710641861   <-> 3.89050507545   || 0
<UNK>           | het             | 4.06024217606   <-> 3.75694894791   || 1
het             | toernooi        | 8.23644447327   <-> 8.90188980103   || 0
toernooi        | nochtans        | 8.56636619568   <-> 8.01179885864   || 1
nochtans        | schitterend     | 8.45496749878   <-> 8.95461463928   || 0
schitterend     | begonnen        | 7.94140768051   <-> 7.41686201096   || 1
begonnen        | met             | 2.83849453926   <-> 3.0342965126    || 0
met             | een             | 1.95400249958   <-> 1.88616299629   || 1
een             | eerste          | 5.42828273773   <-> 5.221367836     || 1
eerste          | rondje          | 9.92756557465   <-> 9.37110900879   || 1
rondje          | van             | 3.35958623886   <-> 2.86633062363   || 1
van             | acht-en         | 6.01787948608   <-> 6.30762577057   || 0
acht-en         | zestig          | 2.63707613945   <-> 2.78704786301   || 0
zestig          | komma           | 2.1718890667    <-> 1.98100042343   || 1
komma           | dat             | 7.54827976227   <-> 6.99673843384   || 1
dat             | hem             | 6.94530773163   <-> 5.82836055756   || 1
hem             | op              | 3.30670285225   <-> 3.26564264297   || 1
op              | een             | 2.40161561966   <-> 2.37061214447   || 1
een             | gedeelde        | 8.30743408203   <-> 7.23986053467   || 1
gedeelde        | tweede          | 5.43422031403   <-> 4.011698246     || 1
tweede          | plaats          | 2.0308740139    <-> 1.89828574657   || 1
plaats          | zette           | 6.96418142319   <-> 5.75238180161   || 1
zette           | </s>            | 0.796964049339  <-> 0.554567873478  || 1
<s>             | maar            | 3.76087236404   <-> 4.04853773117   || 0
maar            | de              | 2.14035844803   <-> 1.83016693592   || 1
de              | duivel          | 9.02611160278   <-> 9.58811569214   || 0
duivel          | in              | 3.59806060791   <-> 3.64744234085   || 0
in              | <UNK>           | 3.1387348175    <-> 3.1959066391    || 0
<UNK>           | won             | 6.14194631577   <-> 5.68787097931   || 1
won             | het             | 3.156686306     <-> 3.69789719582   || 0
het             | alweer          | 8.36387062073   <-> 8.15371608734   || 1
alweer          | van             | 3.59490799904   <-> 3.68772673607   || 0
van             | de              | 1.32003092766   <-> 1.31575834751   || 1
de              | <UNK>           | 1.98868763447   <-> 2.15576195717   || 0
<UNK>           | </s>            | 1.33872210979   <-> 1.14024460316   || 1
<s>             | de              | 2.00110268593   <-> 1.91769242287   || 1
de              | gevolgen        | 8.20273303986   <-> 8.54255104065   || 0
gevolgen        | vallen          | 9.52041435242   <-> 8.98686695099   || 1
vallen          | te              | 5.16244792938   <-> 6.18846654892   || 0
te              | vrezen          | 6.37964439392   <-> 5.33922243118   || 1
vrezen          | </s>            | 1.68658804893   <-> 2.45542812347   || 0
<s>             | <UNK>           | 3.1323928833    <-> 3.06791830063   || 1
<UNK>           | is              | 2.98159265518   <-> 3.10222482681   || 0
is              | een             | 2.20568203926   <-> 2.31876730919   || 0
een             | van             | 4.12040758133   <-> 3.68633031845   || 1
van             | de              | 0.998846650124  <-> 0.822503328323  || 1
de              | mensen          | 5.94794940948   <-> 6.35909318924   || 0
mensen          | die             | 2.30047369003   <-> 1.64737784863   || 1
die             | als             | 4.98390102386   <-> 4.93756866455   || 1
als             | hen             | 7.39212036133   <-> 7.68510246277   || 0
hen             | naar            | 5.28978729248   <-> 4.73034763336   || 1
naar            | hun             | 4.35319137573   <-> 3.58622479439   || 1
hun             | favoriete       | 6.40983724594   <-> 5.97098493576   || 1
favoriete       | drankje         | 11.2686653137   <-> 12.209769249    || 0
drankje         | gevraagd        | 9.61144542694   <-> 8.94394493103   || 1
gevraagd        | wordt           | 4.22883987427   <-> 4.93791341782   || 0
wordt           | antwoorden      | 11.578625679    <-> 11.8152523041   || 0
antwoorden      | </s>            | 0.862090110779  <-> 0.592772185802  || 1
<s>             | het             | 2.82423329353   <-> 2.87165737152   || 0
het             | volgende        | 7.91867923737   <-> 8.50328063965   || 0
volgende        | </s>            | 7.02268981934   <-> 5.29020690918   || 1
<s>             | de              | 2.04708909988   <-> 2.20717597008   || 0
de              | </s>            | 10.555352211    <-> 9.93791484833   || 1
<s>             | Amerikaan       | 11.3875141144   <-> 12.3460731506   || 0
Amerikaan       | <UNK>           | 2.37804865837   <-> 2.40484547615   || 0
<UNK>           | <UNK>           | 2.1738615036    <-> 1.643273592     || 1
<UNK>           | altijd          | 8.79429912567   <-> 9.14682579041   || 0
altijd          | goed            | 5.73781204224   <-> 6.54262638092   || 0
goed            | voor            | 2.47411203384   <-> 2.71590280533   || 0
voor            | een             | 2.28314471245   <-> 2.38770294189   || 0
een             | sterke          | 6.21256542206   <-> 6.10081768036   || 1
sterke          | quote           | 12.0699768066   <-> 10.7135620117   || 1
quote           | kreeg           | 8.45156669617   <-> 8.56700611115   || 0
kreeg           | na              | 5.91745424271   <-> 6.64923143387   || 0
na              | een             | 1.7756062746    <-> 1.64234185219   || 1
een             | <UNK>           | 1.92881143093   <-> 2.44756674767   || 0
<UNK>           | in              | 2.80795526505   <-> 2.9656932354    || 0
in              | de              | 1.27075242996   <-> 1.27403664589   || 0
de              | US              | 8.72334098816   <-> 7.23520183563   || 1
US              | <UNK>           | 1.52885985374   <-> 4.49321556091   || 0
<UNK>           | een             | 3.40422534943   <-> 2.70923876762   || 1
een             | microfoon       | 9.71475982666   <-> 9.60919475555   || 1
microfoon       | onder           | 6.02407836914   <-> 6.07388401031   || 0
onder           | de              | 1.48754501343   <-> 1.65267395973   || 0
de              | neus            | 6.076628685     <-> 5.95599269867   || 1
neus            | geduwd          | 10.649936676    <-> 9.39797878265   || 1
geduwd          | en              | 2.07557988167   <-> 2.32535266876   || 0
en              | verwoordde      | 12.3588886261   <-> 13.08644104     || 0
verwoordde      | het             | 2.68374752998   <-> 2.32268428802   || 1
het             | gevoel          | 5.59529399872   <-> 5.91728591919   || 0
gevoel          | dat             | 1.29776895046   <-> 1.31045234203   || 0
dat             | vele            | 8.52204799652   <-> 8.44464492798   || 1
vele            | <UNK>           | 2.18052053452   <-> 2.34840464592   || 0
<UNK>           | kennen          | 9.08352565765   <-> 9.37863731384   || 0
kennen          | </s>            | 1.16508376598   <-> 1.04250884056   || 1
<s>             | voor            | 4.57810688019   <-> 4.83388376236   || 0
voor            | spelers         | 9.67027854919   <-> 9.31308460236   || 1
spelers         | als             | 4.85150051117   <-> 4.48579692841   || 1
als             | ik              | 3.94577336311   <-> 3.54534673691   || 1
ik              | lijkt           | 9.25145149231   <-> 8.23470973969   || 1
